Designator,Mid X,Mid Y,Rotation,Layer
D1,33.88,-56.9,0.0,top
D10,40.8,-36.5,-90.0,top
D11,30.32,-51.97,0.0,top
D12,43.2,-52.1,0.0,top
D13,65.3,-52.05,0.0,top
D14,77.85,-52.05,0.0,top
D15,59.8,-36.5,-90.0,top
D16,28.58,-49.44,0.0,top
D17,41.4,-49.75,0.0,top
D18,63.55,-49.6,0.0,top
D19,76.15,-49.6,0.0,top
D2,44.992209,-56.9,0.0,top
D20,106.36,-53.83,180.0,top
D21,26.87,-46.97,0.0,top
D22,78.45,-36.5,-90.0,top
D23,39.65,-47.4,0.0,top
D24,74.35,-47.15,0.0,top
D25,108.96,-51.18,180.0,top
D3,68.95,-56.9,0.0,top
D4,81.35,-56.95,0.0,top
D5,103.91,-56.78,0.0,top
D6,32.09,-54.43,0.0,top
D7,45.0,-54.5,0.0,top
D8,67.1,-54.45,0.0,top
D9,79.65,-54.5,0.0,top
FID1,27.1,-33.15,0.0,top
FID2,53.8,-41.4,0.0,top
FID3,49.6,-83.2,0.0,top
FID4,87.8,-64.6,0.0,top
FID5,106.2,-123.2,0.0,top
H1,99.4927,-36.45,0.0,top
H10,23.542209,-27.012001,0.0,top
H11,59.892209,-27.102001,0.0,top
H2,60.22,-57.99,0.0,top
H3,114.91,-56.97,0.0,top
H4,98.0327,-77.2781,0.0,top
H5,40.8827,-96.3281,0.0,top
H6,78.9827,-96.3281,0.0,top
H7,98.0327,-115.3781,0.0,top
H8,40.8827,-134.4281,0.0,top
H9,78.9827,-134.4281,0.0,top
RSW1,31.35,-36.95,-90.0,top
RSW2,50.4,-36.95,-90.0,top
RSW3,69.45,-36.95,-90.0,top
SW1,40.8827,-58.2281,0.0,top
SW10,40.8827,-96.3281,0.0,top
SW11,59.9327,-96.3281,0.0,top
SW12,78.9827,-96.3281,0.0,top
SW13,98.0327,-96.3281,0.0,top
SW14,40.8827,-115.3781,0.0,top
SW15,59.9327,-115.3781,0.0,top
SW16,78.9827,-115.3781,0.0,top
SW17,98.0327,-115.3781,0.0,top
SW18,117.0827,-115.3781,-90.0,top
SW19,40.8827,-134.4281,0.0,top
SW2,59.9327,-58.2281,0.0,top
SW20,78.9827,-134.4281,0.0,top
SW21,98.0327,-134.4281,0.0,top
SW22,117.0827,-153.4781,-90.0,top
SW3,78.9827,-58.2281,0.0,top
SW4,98.0327,-58.2281,0.0,top
SW5,117.0827,-58.2281,0.0,top
SW6,40.8827,-77.2781,0.0,top
SW7,59.9327,-77.2781,0.0,top
SW8,78.9827,-77.2781,0.0,top
SW9,98.0327,-77.2781,0.0,top
U1,96.1,-41.5,-145.0,top
