Designator,Mid X,Mid Y,Rotation,Layer
RSW3,73.7067,-36.6336,-90.0,top
RSW1,32.0387,-36.6336,-90.0,top
RSW2,52.8667,-36.6336,-90.0,top
SW18,117.0827,-115.3781,-90.0,top
SW22,117.0827,-153.4781,-90.0,top
SW20,78.9827,-134.4281,0.0,top
SW3,78.9827,-58.2281,0.0,top
SW11,59.9327,-96.3281,0.0,top
SW1,40.8827,-58.2281,0.0,top
SW15,59.9327,-115.3781,0.0,top
SW4,98.0327,-58.2281,0.0,top
SW16,78.9827,-115.3781,0.0,top
SW8,78.9827,-77.2781,0.0,top
SW5,117.0827,-58.2281,0.0,top
SW6,40.8827,-77.2781,0.0,top
SW12,78.9827,-96.3281,0.0,top
SW10,40.8827,-96.3281,0.0,top
SW7,59.9327,-77.2781,0.0,top
SW2,59.9327,-58.2281,0.0,top
SW13,98.0327,-96.3281,0.0,top
SW17,98.0327,-115.3781,0.0,top
SW9,98.0327,-77.2781,0.0,top
SW14,40.8827,-115.3781,0.0,top
SW21,98.0327,-134.4281,0.0,top
SW19,40.8827,-134.4281,0.0,top
D16,44.5327,-56.0156,0.0,top
D13,64.9447,-53.4756,180.0,top
D4,43.7227,-31.3736,-90.0,top
D21,75.4827,-56.0156,180.0,top
D18,54.5407,-50.5956,180.0,top
D1,31.9827,-26.2156,0.0,top
D9,64.5627,-31.4136,-90.0,top
D6,55.0827,-26.2156,0.0,top
D11,59.9327,-63.0656,90.0,top
D3,43.7227,-41.2056,90.0,top
D5,41.1827,-31.3736,-90.0,top
D24,75.4827,-48.0556,180.0,top
D25,65.4127,-50.5956,0.0,top
D20,44.7087,-48.0556,0.0,top
D23,75.4827,-50.5956,180.0,top
D14,55.1127,-53.4756,0.0,top
STA2,98.0327,-77.2781,0.0,top
D10,62.0227,-31.4136,-90.0,top
D15,55.1127,-56.0156,0.0,top
D22,65.4527,-48.0556,0.0,top
D2,41.1827,-41.2056,90.0,top
STA1,99.4927,-38.4856,0.0,top
D17,44.5847,-50.5956,0.0,top
D12,64.9447,-56.0156,180.0,top
D8,64.5627,-41.4096,90.0,top
D7,62.0227,-41.3696,90.0,top
D19,54.5407,-48.0556,180.0,top
U1,99.6827,-43.0023,-90.0,top
STA7,25.1827,-49.3656,0.0,top
STA6,113.6827,-38.3656,0.0,top
STA3,40.8827,-77.2781,0.0,top
STA5,97.5827,-134.4156,0.0,top
STA4,40.8827,-134.4281,0.0,top
